# wsel17-cleanup-manifest.tsv -- WSEL-17 Step 5/6 disposition inventory (width strand, THE GRAND CLEANUP).
# Owner: docs/plans/capacity_programme/width.md, "WSEL-17 -- THE GRAND CLEANUP" (Steps 5-7).
#
# WHAT THIS IS. One row per width driver, architecture module, and results-JSON group, each run
# through the spec's four MECHANICAL eligibility checks. DELETE-ELIGIBLE requires ALL FOUR to hold;
# everything else is KEEP or SHIM. This task (Steps 1-6) DELETES NOTHING -- Step 7 (attended,
# root + user sign-off) is the only step authorised to remove a file, and only after reading this
# manifest.
#
# THE FOUR CHECKS (columns 6-9), each run as a command, output recorded in the cell:
#   c1_protected   -- `grep -F <path> docs/plans/capacity_programme/shared/PROTECTED.tsv` (path column only)
#   c2_cited       -- cited by a LIVE plan file. "Live plan file" = the citation gate's OWN walk
#                     (docs/plans/capacity_programme/test_plan_gates.py `_walk_plan_dirs`/`_is_evidence_dir`):
#                     every .md/.tsv under docs/plans/capacity_programme/, EXCLUDING `archive/` and any
#                     `reviews_*/` subdirectory (both are explicitly frozen-record dirs per that function).
#                     Checked via: python3 walk matching that exact predicate, then `grep -l -F <name>`
#                     over the resulting file list (25 files at execution time, 2026-07-22).
#   c3_imported    -- a GENUINE import statement (`grep -rnE '^\s*(import|from)\s+<module>\b'`), not a
#                     bare filename substring match -- a filename appearing in a docstring/comment
#                     ("this replaces X.py") is NOT an import and is called out as such below where it
#                     was the only hit a naive substring grep would have returned.
#   c4_superseded  -- a NAMED on-disk replacement exists (path written in the row); "looks old" alone
#                     never satisfies this.
#
# METHODOLOGY NOTE ON GRANULARITY. Results JSONs are grouped ONE ROW PER PRODUCER/RESULTS-DIRECTORY
# (not one row per of the ~719 individual per-seed/per-cell leaf files under
# automl_package/examples/capacity_ladder_results/{W*,WSEL*}/) wherever every file in that directory
# shares one producer script, one citation pattern, and one disposition -- e.g. WSEL4/ alone holds 145
# leaf JSONs, all current cells of the same ANSWERED task, all KEEP for the same reason. Individual rows
# are given ONLY where a specific file's disposition genuinely differs from its directory-mates (W_MRL's
# two files; the WSEL11 voided-vs-rerun split, which width.md itself already treats as two artifacts).
# This keeps the manifest reviewable; it trades off NOT naming each of the 719 leaves individually. If
# finer granularity is wanted, re-run with each directory's `find <dir> -name '*.json'` expanded.
#
# HEADSTONE FINDING (read before trusting any DELETE-ELIGIBLE row -- there are none in this manifest).
# `docs/plans/capacity_programme/shared/zero-caller-inventory.md` is NOT inside a `reviews_*/`
# directory, so the citation gate's own walk treats it as a live plan file. That document's entire
# purpose is enumerating near-zero-caller candidates BY NAME -- so under the mechanical rule AS
# LITERALLY SPECIFIED, its own act of discussing a file as "maybe dead" is itself a citation that BLOCKS
# check c2 for every file it discusses. This makes check c2 nearly untriggerable for exactly the
# marginal files Step 5 is supposed to catch. Two rows below (independent_width_experiment.py/W_INDEP,
# and w_mrl_summary_run1_partial.json) hit this exactly: checks c1/c3/c4 all independently support
# DELETE-ELIGIBLE, but c2 is blocked ONLY by zero-caller-inventory.md's own self-referential mention.
# Recorded as KEEP (mechanical rule applied literally, all four required) with the near-miss called out
# for the root's judgement at Step 7 -- this task does not override a mechanical check with its own
# discretion (Step 5's own instruction: "ELIGIBILITY IS MECHANICAL, NOT A JUDGEMENT").
#
# COLUMNS (tab-separated): path	kind	verdict	reason	replacement	c1_protected	c2_cited	c3_imported	c4_superseded
#
path	kind	verdict	reason	replacement	c1_protected	c2_cited	c3_imported	c4_superseded
automl_package/models/architectures/nested_width_net.py	architecture-module	SHIM	Pure re-export shim over automl_package/models/flexnn/width/architectures.py (FP-11 move); WSEL-17 Step 2 promotes nothing into it (B_HEADS won WSEL-16, see note below). 10 live plan-doc citations, imported by every width driver.	-	not-protected	CITED (width.md, MASTER.md, flexnn-package.md, +7 more)	IMPORTED (21 files incl. width_wsel4/6/7/8/11/13/15/16.py, tests/*)	no-replacement, not superseded
automl_package/models/flexnn/width/architectures.py	architecture-module	KEEP	Holds the 4 certified classes (NestedWidthNet, IndependentWidthNet, SharedTrunkPerWidthHeadNet, SharedReadoutPerWidthAffineNet). NOT in this task's declared write set (path drift: width.md's own WSEL-17 write-set line still names the pre-FP-11 shim path) -- recorded here read-only, not edited. See Step 3 note below.	-	not-protected	CITED (width.md, flexnn-package.md, flexnn-core.md, MASTER.md, structure.md, probreg.md, +2 more)	IMPORTED (width_wsel4.py, cascade_width_net.py, kdropout_converged_width_experiment.py, +transitively every file that imports the models/architectures shim)	no-replacement, not superseded
automl_package/models/flexnn/width/model.py	architecture-module	KEEP	FlexibleWidthNN, the shipping W-SHARED/W-PERINPUT class (width.md line 55-70). Heavily cited (18 live plan files) and imported.	-	not-protected	CITED (width.md, flexnn-core.md, flexnn-moe.md, width-depth.md, structure.md, +13 more)	IMPORTED (width_wsel4/6/7.py, models/flexnn/strategies/layer.py, tests/test_phase2_flexible_nn.py)	no-replacement, not superseded
automl_package/examples/nested_width_net.py	architecture-module	KEEP	PROTECTED (*). Toy generators (make_hetero/make_hetero3), WidthSchedule, train_nested_width, gaussian_log_likelihood -- example-script protocol every width driver imports.	-	PROTECTED (PROTECTED.tsv: "Holds the certified width architectures... FP-2 MOVES these into the package and leaves a re-export shim; the file itself is never deleted while any driver imports it by bare name.")	CITED (10 live plan files)	IMPORTED (29 files: every width_wsel*.py, converged/hetero/independent/cascade/matryoshka/kdropout drivers, capacity_accounting.py, moe_*.py, depth_toy.py, joint_capacity_toy.py, report_a_benchmark.py, 5 test files)	no-replacement, not superseded
automl_package/examples/matryoshka_width_net.py	architecture-module	SHIM	PROTECTED (*). WSEL-17 Step 1 (this task): reduced to a re-export shim -- MatryoshkaWidthNet = SharedTrunkPerWidthHeadNet (proven equivalent, tests/test_matryoshka_equivalence.py, incl. prove-it-fails). train_matryoshka kept as example-script training protocol (not duplicated architecture). Caller cascade_width_experiment.py verified still resolving (--selftest --arm matryoshka PASS).	SharedTrunkPerWidthHeadNet (automl_package/models/architectures/nested_width_net.py)	PROTECTED (PROTECTED.tsv: "Superseded width architecture (MatryoshkaWidthNet)")	CITED (width.md, flexnn-package.md, zero-caller-inventory.md)	IMPORTED (cascade_width_experiment.py: `import matryoshka_width_net as mwn`, genuine)	SUPERSEDED-AND-SHIMMED this task (see replacement column) -- not a deletion, PROTECTED.tsv rule 2 sanctions a shim over a protected path
automl_package/examples/cascade_width_net.py	architecture-module	KEEP	PROTECTED (*). ResidualCascadeNet -- the already-implemented staged-boosting arm WSEL-16 Stage 2 reuses unchanged (A_CASCADE_STAGED). Live genuine importers.	-	PROTECTED (PROTECTED.tsv: "Superseded width architecture (ResidualCascadeNet)... results sit on disk and deleting the code orphans them from their producer")	CITED (width.md, flexnn-package.md, zero-caller-inventory.md)	IMPORTED (cascade_width_experiment.py, width_wsel16.py: both genuine)	no-replacement, not superseded (still actively reused by WSEL-16 Stage 2)
automl_package/examples/cascade_width_experiment.py	width-driver	KEEP	PROTECTED (*). Driver for the cascade + matryoshka arms; writes W_CASCADE and W_MRL. --selftest re-verified this task (both arms PASS after the matryoshka shim landed).	-	PROTECTED (PROTECTED.tsv: "Driver for both superseded arms; writes RESULTS_DIR_CASCADE and RESULTS_DIR_MATRYOSHKA. Deleting it orphans both artifact directories.")	CITED (flexnn-package.md, zero-caller-inventory.md)	no-importer (it is a __main__ driver, not a library module -- zero importers is expected/normal, not a dead-code signal)	no-replacement, not superseded
automl_package/examples/sinc_width_experiment.py	width-driver	KEEP	PROTECTED (*). Home of RunConfig + the 3 bar functions (_construction_bar/_recovery_bar/_deploy_bar) + selector helpers, reused verbatim by nearly every later width driver. Produces W1.	-	PROTECTED (PROTECTED.tsv: "Produced the certified width selection numbers via its selector machinery, run inside kdropout_converged_width_experiment.py")	CITED (11 live plan files)	IMPORTED (10 files incl. width_wsel4.py, width_wsel16.py, kdropout_converged_width_experiment.py, joint_capacity_toy.py, depth_selection_toy.py, models/flexnn/routing.py)	no-replacement, not superseded
automl_package/examples/hetero_width_experiment.py	width-driver	KEEP	Produces W2. Fixed the toy construction problems W1 had, but itself later shown to fail bar (i) (shared-trunk starvation, per independent_width_experiment.py's own docstring) -- NOT mechanically DELETE-ELIGIBLE: no NAMED on-disk replacement citation exists (converged_width_experiment.py's docstring names only "independent_width_experiment.py and the scratchpad probes", never this file by name).	none named	not-protected	CITED (zero-caller-inventory.md, flexnn-package.md)	IMPORTED (independent_width_experiment.py:53, genuine, reuse of RunConfig/bar-functions) -- but see W_INDEP row: that importer is itself a near-miss delete candidate	FAILS -- no named replacement on record (fails c4; verdict is KEEP regardless of c1-c3)
automl_package/examples/independent_width_experiment.py	width-driver	KEEP (near-miss, see headstone finding)	converged_width_experiment.py's own docstring: "This replaces the fixed-epoch width runs (`independent_width_experiment.py` and the scratchpad probes)" -- an explicit, named, on-disk supersession. c1/c3/c4 all independently support DELETE-ELIGIBLE. BLOCKED SOLELY by c2: zero-caller-inventory.md (not a reviews_*/ dir, so in-scope for the citation gate's walk) discusses this file BY NAME as a candidate -- see manifest header HEADSTONE FINDING. Flagged for the root's Step-7 judgement.	converged_width_experiment.py (automl_package/examples/, W_CONVERGED results)	not-protected	CITED -- ONLY hit is docs/plans/capacity_programme/shared/zero-caller-inventory.md (a prior zero-caller AUDIT discussing this file as a disposal candidate, not a live task depending on it)	no GENUINE import anywhere (the only "importer" a naive substring grep finds is converged_width_experiment.py's own docstring line 3, which is prose, not `import independent_width_experiment`)	SUPERSEDED -- converged_width_experiment.py names it explicitly as replaced
